time_in_seconds;cap_sensor;licht;temperatur
8;1776.117309570312;848.571472167969;890.476257324219
25;1764.835205078125;846.959777832031;922.710693359375
43;1770.476318359375;842.124572753906;932.380981445312
61;1750.329711914062;853.406616210938;935.604431152344
78;1763.223510742188;840.512878417969;943.663024902344
96;1755.164916992188;832.454284667969;947.692321777344
114;1745.494628906250;823.589782714844;938.022033691406
131;1737.436035156250;821.978088378906;955.750976562500
149;1746.300415039062;821.172180175781;945.274780273438
167;1725.348022460938;816.337036132812;958.974426269531
184;1724.542236328125;817.142883300781;949.304077148438
202;1730.989135742188;817.948791503906;958.974426269531
220;1745.494628906250;820.366333007812;958.168518066406
237;1736.630126953125;826.813232421875;961.391967773438
255;1727.765625000000;820.366333007812;956.556823730469
273;1738.241821289062;817.142883300781;950.915771484375
290;1722.930541992188;818.754638671875;950.915771484375
308;1730.183227539062;816.337036132812;965.421264648438
326;1725.348022460938;819.560485839844;961.391967773438
343;1723.736328125000;820.366333007812;958.974426269531
361;1731.794921875000;821.172180175781;964.615417480469
379;1729.377441406250;839.707031250000;968.644714355469
396;1732.600830078125;827.619079589844;961.391967773438
414;1726.959838867188;833.260131835938;980.732666015625
432;1718.901245117188;835.677734375000;978.315063476562
449;1723.736328125000;838.901123046875;983.150207519531
467;1743.077026367188;839.707031250000;982.344360351562
485;1742.271118164062;838.901123046875;982.344360351562
502;1725.348022460938;838.095275878906;980.732666015625
520;1718.901245117188;835.677734375000;976.703308105469
538;1732.600830078125;835.677734375000;983.956054687500
555;1727.765625000000;835.677734375000;977.509216308594
573;1726.153930664062;835.677734375000;967.033020019531
591;1738.241821289062;828.424987792969;979.926757812500
608;1721.318725585938;831.648376464844;975.091613769531
626;1732.600830078125;828.424987792969;979.120910644531
644;1718.901245117188;830.842529296875;987.179504394531
661;1730.183227539062;833.260131835938;979.120910644531
679;1718.095336914062;832.454284667969;989.597106933594
697;1723.736328125000;834.871826171875;981.538513183594
714;1723.736328125000;831.648376464844;979.120910644531
732;1730.989135742188;834.065979003906;975.091613769531
750;1734.212524414062;838.095275878906;980.732666015625
767;1724.542236328125;838.095275878906;982.344360351562
785;1734.212524414062;837.289428710938;975.897460937500
803;1723.736328125000;841.318725585938;983.956054687500
820;1719.707031250000;838.901123046875;992.014709472656
838;1739.853515625000;845.348022460938;988.791259765625
856;1729.377441406250;843.736328125000;986.373657226562
873;1730.183227539062;843.736328125000;990.402954101562
891;1717.289428710938;846.153869628906;985.567810058594
909;1733.406738281250;846.153869628906;979.120910644531
926;1745.494628906250;843.736328125000;983.956054687500
944;1730.183227539062;840.512878417969;985.567810058594
962;1730.183227539062;843.736328125000;979.120910644531
979;1740.659423828125;845.348022460938;986.373657226562
997;1730.183227539062;839.707031250000;987.179504394531
1015;1733.406738281250;844.542175292969;985.567810058594
1032;1730.989135742188;842.124572753906;979.926757812500
1050;1731.794921875000;840.512878417969;984.761962890625
1068;1737.436035156250;841.318725585938;992.820556640625
1085;1728.571533203125;839.707031250000;992.014709472656
1103;1729.377441406250;841.318725585938;983.956054687500
1121;1737.436035156250;839.707031250000;990.402954101562
1138;1737.436035156250;841.318725585938;985.567810058594
1156;1742.271118164062;842.124572753906;989.597106933594
1174;1725.348022460938;843.736328125000;990.402954101562
1191;1734.212524414062;839.707031250000;969.450561523438
1209;1731.794921875000;841.318725585938;985.567810058594
1227;1722.930541992188;840.512878417969;977.509216308594
1244;1749.523925781250;844.542175292969;991.208801269531
1262;1742.271118164062;843.736328125000;991.208801269531
1280;1739.047729492188;842.930480957031;996.044006347656
1297;1735.824218750000;844.542175292969;990.402954101562
1315;1727.765625000000;846.959777832031;991.208801269531
1333;1732.600830078125;843.736328125000;990.402954101562
1350;1733.406738281250;842.930480957031;992.820556640625
1368;1729.377441406250;845.348022460938;992.014709472656
1386;1752.747314453125;844.542175292969;998.461547851562
1403;1745.494628906250;840.512878417969;983.150207519531
1421;1740.659423828125;846.959777832031;994.432250976562
1439;1719.707031250000;845.348022460938;995.238159179688
1456;1745.494628906250;842.124572753906;996.849853515625
1474;1743.882934570312;847.765625000000;994.432250976562
1491;1731.794921875000;843.736328125000;991.208801269531
1509;1745.494628906250;845.348022460938;987.985412597656
1527;1726.959838867188;847.765625000000;984.761962890625
1545;1728.571533203125;843.736328125000;991.208801269531
1562;1734.212524414062;846.153869628906;984.761962890625
1580;1752.747314453125;845.348022460938;983.956054687500
1597;1751.941528320312;846.959777832031;991.208801269531
1615;1739.047729492188;846.959777832031;991.208801269531
1633;1737.436035156250;842.124572753906;994.432250976562
1650;1745.494628906250;842.124572753906;998.461547851562
1668;1734.212524414062;840.512878417969;998.461547851562
1686;1745.494628906250;843.736328125000;986.373657226562
1703;1741.465332031250;845.348022460938;988.791259765625
1721;1731.794921875000;840.512878417969;990.402954101562
1739;1736.630126953125;839.707031250000;983.956054687500
1756;1735.018432617188;844.542175292969;981.538513183594
1774;1720.512939453125;842.124572753906;992.820556640625
1792;1747.912231445312;843.736328125000;987.985412597656
1809;1728.571533203125;840.512878417969;996.044006347656
1827;1744.688720703125;846.153869628906;996.044006347656
1845;1735.018432617188;857.435974121094;992.820556640625
1862;1737.436035156250;845.348022460938;993.626403808594
1880;1726.959838867188;848.571472167969;990.402954101562
1898;1733.406738281250;844.542175292969;992.820556640625
1915;1751.135620117188;843.736328125000;982.344360351562
1933;1748.718017578125;859.853515625000;987.985412597656
1951;1723.736328125000;846.959777832031;990.402954101562
1968;1727.765625000000;847.765625000000;996.044006347656
1986;1736.630126953125;846.153869628906;997.655700683594
2004;1743.077026367188;846.959777832031;985.567810058594
2021;1734.212524414062;850.989074707031;994.432250976562
2039;1743.077026367188;848.571472167969;993.626403808594
2057;1736.630126953125;846.153869628906;990.402954101562
2074;1736.630126953125;855.824218750000;984.761962890625
